Title,Note,URL,Tags,Comment
Badiani Gelato Covent Garden,,https://www.google.com/maps/place/Badiani+Gelato+Covent+Garden/data=!4m2!3m1!1s0x4876051244226439:0xbba454c0467673c3,,
Lahpet Shoreditch,,https://www.google.com/maps/place/Lahpet+Shoreditch/data=!4m2!3m1!1s0x48761ce62794bf39:0x9e788c3bd403aef2,,
Hanbury Hall Coworking,,https://www.google.com/maps/place/Hanbury+Hall+Coworking/data=!4m2!3m1!1s0x48761cb4342bf4dd:0x13759abc8a1fd67,,
Khao Bird,,https://www.google.com/maps/place/Khao+Bird/data=!4m2!3m1!1s0x48760391ae49db51:0x5a0d5dc122b6d970,,
OMA,,https://www.google.com/maps/place/OMA/data=!4m2!3m1!1s0x487603999336cae1:0xc90fb04e06d5a838,,
Cured,,https://www.google.com/maps/place/Cured/data=!4m2!3m1!1s0x48761b9a0755ca5b:0xa5f85cb9c0087324,,
"Koh-I-Noor Palace, London",,"https://www.google.com/maps/place/Koh-I-Noor+Palace,+London/data=!4m2!3m1!1s0x487611099954ba93:0x5645f5b034110e6c",,
WatchHouse Hampstead Heath,,https://www.google.com/maps/place/WatchHouse+Hampstead+Heath/data=!4m2!3m1!1s0x48761bbd6beaa533:0xb9a7db41f2e82369,,
Cafe Chaiwala Arshad Khan,,https://www.google.com/maps/place/Cafe+Chaiwala+Arshad+Khan/data=!4m2!3m1!1s0x47d8a75c789a3225:0xd10bf1ecda48abe1,,
Gymkhana,,https://www.google.com/maps/place/Gymkhana/data=!4m2!3m1!1s0x48760529e6f909b7:0xcd2c9e853caef302,,
Arcola Theatre,,https://www.google.com/maps/place/Arcola+Theatre/data=!4m2!3m1!1s0x48761c8b86cb18b1:0x4cfbf0cfea0102a5,,
Ninety One Living Room,,https://www.google.com/maps/place/Ninety+One+Living+Room/data=!4m2!3m1!1s0x48761cb66990d719:0x9f2f6670df5f0338,,
Kiss the Hippo Coffee Fitzrovia Corner,,https://www.google.com/maps/place/Kiss+the+Hippo+Coffee+Fitzrovia+Corner/data=!4m2!3m1!1s0x48761b921445dd0b:0xd9c6b2075325419e,,
The Dusty Knuckle Bakery,,https://www.google.com/maps/place/The+Dusty+Knuckle+Bakery/data=!4m2!3m1!1s0x48761c8dee275939:0x40791652767d2607,,
